name,servo_type,servo_id,min_angle,max_angle,is_gripper,dh_a,dh_alpha,dh_d,dh_theta
str,str,int,float,float,bool,float,float,float,float
base,MX,1,-180,180,False,0,0,0,0
shoulder,MX,2,-125,125,False,0,0,0,0
elbow,MX,3,-85,120,False,0,0,0,0
wrist,AX,4,-120,125,False,0,0,0,0
wrist2,XL,5,-180,180,False,0,0,0,0
wrist3,XL,6,-60,0,True,0,0,0,0
